note_id	old_deck	front	systems	knowledge	confidence
1762487324825	CVS	5 Lead ECG color placement	cardiovascular	diagnostics	ok
1762488540680	CVS	12 Lead ECG, where to place V1-V6 electrodes?	cardiovascular	diagnostics	ok
1762488710171	CVS	Is the ECG tracing upward or downward? Average current flow is towards	cardiovascular	diagnostics	ok
1762488756614	CVS	Is the ECG tracing upward or downward? Average current flow is towards	cardiovascular	diagnostics	ok
1762492549939	CVS	In 12 lead ECG, which leads are unipolar (Augmented)?	cardiovascular	diagnostics	ok
1762492661218	CVS	AVR lead: Identify the positive and negative pole	cardiovascular	diagnostics	ok
1762494062168	CVS	Lead I : Identify positive and negative pole	cardiovascular	diagnostics	ok
1762494119507	CVS	Lead II : Identify positive and negative pole	cardiovascular	diagnostics	ok
1762494185696	CVS	Lead III : idenitfy positve and negative pole	cardiovascular	diagnostics	ok
1762495196982	CVS	Where to place limb leads and why? (12 lead ECG)	cardiovascular	diagnostics	ok
1762495299905	CVS	What leads view the heart in the vertical plane ? Horizontal plane ?	cardiovascular	diagnostics	ok
1762527997453	CVS	Range and what it represents: PR	cardiovascular	physiology	ok
1762534959779	CVS	Causes of T-wave inversion ?	cardiovascular	etiology	ok
1762540712402	CVS	On ECG, what characterises an atrial flutter	cardiovascular	diagnostics	ok
1762540945253	CVS	How to differentiate Atrial fibrillation vs flutter ?	cardiovascular	diagnostics	ok
1762542161007	CVS	Atrial Flutter : symptoms	cardiovascular	manifestation	ok
1762551646710	CVS	What does a less than 100 ms QRS mean?	cardiovascular	diagnostics	ok
1762704595667	CVS	QRS interval range and what it represents	cardiovascular	physiology	ok
1762704655339	CVS	2 ways to calculate rate in ECG	cardiovascular	diagnostics	ok
1762704721971	CVS	How many big boxes in 6 second interval (ECG)	cardiovascular	diagnostics	ok
1762707741649	CVS	Important leads for P-wave	cardiovascular	diagnostics	ok
1762708402527	CVS	Physiologically what causes a junctional rhythm ?	cardiovascular	pathophysiology	ok
1762708556539	CVS	Important wave morphology in Junctional Dysrhythmia ?	cardiovascular	diagnostics	ok
1762710468501	CVS	What is a premature junctional beat	cardiovascular	physiology	ok
